ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija,regija 
SPODNJE RADVANJE,Prodaja,Hiša,Vrstna,2019,2224.0,121.7,239990.0,24nep d.o.o.,podravska
SPODNJE RADVANJE,Prodaja,Hiša,Vrstna,2019,2225.0,121.7,239990.0,24nep d.o.o.,podravska
SPODNJE RADVANJE,Prodaja,Poslovni prostor,Drugo,1959,,131.0,169000.0,"RENEX, Ksenija Mihajlović s.p.",podravska
SPODNJE RADVANJE,Prodaja,Stanovanje,trisobno,1959,,131.0,169000.0,"RENEX, Ksenija Mihajlović s.p.",podravska
SPODNJE RADVANJE,Prodaja,Hiša,Dvojček,2019,294.0,140.6,235000.0,Dodoma d.o.o.,podravska
SPODNJE RADVANJE,Prodaja,Hiša,Samostojna,1968,863.0,163.4,249000.0,Atrium nepremičnine d.o.o.,podravska
SPODNJE RADVANJE,Prodaja,Poslovni prostor,Kombiniran prostor,2001,,196.0,148000.0,"GRAL REAL, nepremičninska agencija, d.o.o.",podravska
SPODNJE RADVANJE,Prodaja,Hiša,Vrstna,1997,247.0,213.4,250000.0,"Mojca nepremičnine, Galea Mojca Žižek s.p.",podravska
SPODNJE RADVANJE,Prodaja,Hiša,Samostojna,1920,476.0,214.0,90000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
SPODNJE RADVANJE,Prodaja,Hiša,Samostojna,1984,416.0,234.0,155000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
SPODNJE RADVANJE,Prodaja,Hiša,Samostojna,1984,1185.0,234.0,240000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
SPODNJE RADVANJE,Prodaja,Hiša,Samostojna,1950,483.0,256.0,199000.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio",podravska
SPODNJE RADVANJE,Prodaja,Hiša,Samostojna,1964,514.0,270.0,240000.0,"Nepremičnine, Košir Branka s.p.",podravska
SPODNJE RADVANJE,Prodaja,Poslovni prostor,Drugo,1983,,600.2,290000.0,"C-nep agencija, d.o.o.",podravska
"SPODNJE RADVANJE, JADRANSKA CESTA 27",Prodaja,Poslovni prostor,Večji poslovni kompleks,1995,,1530.0,420000.0,"SAVA, d.d.",podravska
"SPODNJE RADVANJE, LACKOVA CESTA",Prodaja,Stanovanje,trisobno,2012,,109.6,230000.0,"Nepremičnine, Košir Branka s.p.",podravska
"SPODNJE RADVANJE, MARIBOR",Prodaja,Stanovanje,dvosobno,1994,,64.4,79000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"SPODNJE RADVANJE, NA ROBU MESTA POD POHORJEM",Prodaja,Hiša,Samostojna,1978,494.0,176.0,155000.0,Zasebna ponudba,podravska
"SPODNJE RADVANJE, OB RADVANJSKI CESTI, MB",Prodaja,Stanovanje,enosobno,1940,,41.3,66800.0,24nep d.o.o.,podravska
"SPODNJE RADVANJE, OB RADVANJSKI CESTI, MB",Prodaja,Stanovanje,enosobno,1940,,41.3,54900.0,24nep d.o.o.,podravska
"SPODNJE RADVANJE, V BLIŽINI POHORJA",Prodaja,Hiša,Vrstna,2019,2224.0,121.7,239990.0,24nep d.o.o.,podravska
SPODNJE VRTIČE,Prodaja,Hiša,Samostojna,1968,13898.0,202.0,45000.0,Dodoma d.o.o.,podravska
"SPODNJI BOČ, 45",Prodaja,Hiša,Samostojna,2010,11000.0,240.0,65000.0,Zasebna ponudba,podravska
SPODNJI DUPLEK,Prodaja,Počitniški objekt,Vikend,1989,580.0,19.7,26000.0,"C-nep agencija, d.o.o.",podravska
SPODNJI DUPLEK,Prodaja,Stanovanje,dvoinpolsobno,2007,,53.6,75900.0,"INSA d.o.o., Europark Maribor",podravska
SPODNJI DUPLEK,Prodaja,Stanovanje,trisobno,2007,,70.21,85000.0,MPTRG d.o.o.,podravska
SPODNJI DUPLEK,Prodaja,Stanovanje,dvosobno,2008,,74.0,85000.0,Zasebna ponudba,podravska
SPODNJI DUPLEK,Prodaja,Stanovanje,trisobno,2007,,82.4,85000.0,Zasebna ponudba,podravska
SPODNJI DUPLEK,Prodaja,Hiša,Samostojna,1980,616.0,184.7,139900.0,24nep d.o.o.,podravska
SPODNJI DUPLEK,Prodaja,Poslovni prostor,Kombiniran prostor,1955,8104.0,228.0,325000.0,"INSA d.o.o., Europark Maribor",podravska
SPODNJI DUPLEK,Prodaja,Hiša,Dvostanovanjska,1985,551.0,366.0,198900.0,"INSA d.o.o., Europark Maribor",podravska
SPODNJI DUPLEK,Prodaja,Hiša,Dvostanovanjska,2001,4586.0,536.0,290000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
SPODNJI DUPLEK,Prodaja,Hiša,Samostojna,2001,4056.0,536.7,350000.0,"C-nep agencija, d.o.o.",podravska
SPODNJI GAJ PRI PRAGERSKEM,Prodaja,Hiša,Samostojna,2019,470.0,116.0,139900.0,"C-nep agencija, d.o.o.",podravska
SPODNJI JAKOBSKI DOL,Prodaja,Hiša,Samostojna,1797,1000.0,120.0,99000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
SPODNJI LESKOVEC,Prodaja,Hiša,Samostojna,1993,1703.0,208.0,159850.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
"SPUHLJA, PRITLIČJE S TERASO IN OHIŠNICO",Prodaja,Hiša,Samostojna,2020,600.0,88.0,147825.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio",podravska
SREDIŠČE OB DRAVI,Prodaja,Hiša,Vrstna,1960,140.0,92.2,76000.0,"SM nepremičnine, Aleksandra Bezjak s.p.",podravska
SREDIŠČE OB DRAVI,Prodaja,Hiša,Samostojna,1910,401.0,112.0,60000.0,Prips nepremičnine d.o.o.,podravska
SREDIŠČE OB DRAVI,Prodaja,Hiša,Vrstna,1960,219.0,129.0,101000.0,"SM nepremičnine, Aleksandra Bezjak s.p.",podravska
SREDIŠČE OB DRAVI,Prodaja,Hiša,Dvojček,1973,1054.0,135.0,89500.0,Jeruzalem Ormož SAT d.o.o.,podravska
SREDIŠČE OB DRAVI,Prodaja,Hiša,Vrstna,1960,193.0,143.1,118000.0,"SM nepremičnine, Aleksandra Bezjak s.p.",podravska
SREDIŠČE OB DRAVI,Prodaja,Poslovni prostor,Kombiniran prostor,1990,3013.0,235.9,139000.0,"C-nep agencija, d.o.o.",podravska
SREDIŠČE OB DRAVI,Prodaja,Poslovni prostor,Kombiniran prostor,1960,7201.0,3150.0,330000.0,"DUTB, d.d.",podravska
"SREDIŠČE OB DRAVI, V CENTRU",Prodaja,Hiša,Samostojna,1900,1093.0,73.0,34000.0,Jeruzalem Ormož SAT d.o.o.,podravska
"SREDIŠČE OB DRAVI, V CENTRU",Prodaja,Stanovanje,trisobno,1979,,73.5,69900.0,Zasebna ponudba,podravska
STARI GRAD,Prodaja,Hiša,Samostojna,2003,39332.0,215.0,185000.0,Zasebna ponudba,podravska
STARI GRAD,Prodaja,Hiša,Samostojna,2005,7898.0,276.0,120000.0,Zoro d.o.o.,podravska
STARI GRAD,Prodaja,Hiša,Dvostanovanjska,2005,7898.0,300.0,120000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
STARI LOG,Prodaja,Posest,Kmetijsko zemljišče,1905,,73.0,75000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
"STARI LOG, SONČNA LEGA, BLIŽINA AVTOCESTE",Prodaja,Hiša,Samostojna,1950,4907.0,171.1,55000.0,Studio Vida d.o.o.,podravska
STOJNCI,Prodaja,Hiša,Samostojna,1960,2566.0,168.0,115000.0,"M nepremičnine, Milena Jančič s.p.",podravska
STOPERCE,Prodaja,Hiša,Samostojna,1990,2263.0,64.4,15900.0,24nep d.o.o.,podravska
STRAJNA,Prodaja,Počitniški objekt,Hiša,1970,6655.0,44.0,29000.0,"M nepremičnine, Milena Jančič s.p.",podravska
STRMEC PRI LESKOVCU,Prodaja,Hiša,Samostojna,1958,5069.0,20.0,21000.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio",podravska
STRMEC PRI LESKOVCU,Prodaja,Vikend,Bivalen,1980,4990.0,49.2,32000.0,"M nepremičnine, Milena Jančič s.p.",podravska
STUDENCI,Prodaja,Garaža,Parkirno mesto,1995,,13.0,6900.0,"Mojca nepremičnine, Galea Mojca Žižek s.p.",podravska
STUDENCI,Prodaja,Stanovanje,enosobno,1994,,32.64,38000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,enosobno,1903,,43.5,29000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,dvosobno,2020,,58.4,105441.66,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,dvosobno,2020,,58.6,103573.31,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,dvosobno,2020,,58.6,106064.44,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,dvosobno,2020,,58.7,106016.53,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,dvosobno,2020,,59.0,102615.19,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Samostojna,1928,504.0,62.0,90000.0,Zasebna ponudba,podravska
STUDENCI,Prodaja,Stanovanje,trisobno,2020,,73.3,123310.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,dvoinpolsobno,2020,,73.8,127745.44,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,dvoinpolsobno,2003,,80.0,109000.0,Zasebna ponudba,podravska
STUDENCI,Prodaja,Hiša,Samostojna,1980,414.0,80.0,119990.0,Agencija i3 d.o.o.,podravska
STUDENCI,Prodaja,Stanovanje,trisobno,2020,,82.0,16270.0,Zasebna ponudba,podravska
STUDENCI,Prodaja,Stanovanje,dvosobno,2020,,82.9,119526.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Samostojna,1911,256.0,112.0,99000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,štirisobno,2020,,116.3,195479.4,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,trisobno,2020,,117.0,248744.31,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Samostojna,1937,420.0,117.19,147000.0,"C-nep agencija, d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,trisobno,2020,,117.6,194948.33,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,trisobno,2020,,118.9,190521.79,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,trisobno,2020,,126.0,199013.51,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Poslovni prostor,Neživilska trgovina,1900,,132.1,80000.0,Dodoma d.o.o.,podravska
STUDENCI,Prodaja,Hiša,Samostojna,2017,344.0,140.0,210000.0,"Sprogar nepremičnine d.o.o., PE Maribor",podravska
STUDENCI,Prodaja,Hiša,Samostojna,2008,401.0,162.3,229000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Dvostanovanjska,1996,784.0,185.0,220000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
STUDENCI,Prodaja,Stanovanje,štirisobno,2005,,193.4,255000.0,"C-nep agencija, d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Samostojna,1938,761.0,206.3,259000.0,"C-nep agencija, d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Dvostanovanjska,1904,1031.0,229.0,350000.0,"C-nep agencija, d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Samostojna,2015,500.0,254.4,380000.0,Atrium nepremičnine d.o.o.,podravska
STUDENCI,Prodaja,Hiša,Samostojna,2005,571.0,259.0,249000.0,"INVENTA NEPREMIČNINE, Tanja Koser s.p.",podravska
STUDENCI,Prodaja,Hiša,Dvostanovanjska,1969,590.0,276.9,169000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Samostojna,1975,728.0,327.0,185000.0,ABC nepremičnine d.o.o.,podravska
STUDENCI,Prodaja,Poslovni prostor,Delavnica,1947,1087.0,349.0,349950.0,"C-nep agencija, d.o.o.",podravska
STUDENCI,Prodaja,Poslovni prostor,Kombiniran prostor,1974,,485.0,300000.0,"C-nep agencija, d.o.o.",podravska
STUDENCI,Prodaja,Hiša,Samostojna,1995,756.0,495.0,298000.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o.",podravska
STUDENCI,Prodaja,Poslovni prostor,Večji poslovni kompleks,2014,3712.0,600.0,1200000.0,Atrium nepremičnine d.o.o.,podravska
STUDENCI,Prodaja,Poslovni prostor,Prostor za storitve,1995,722.0,630.0,690000.0,Atrium nepremičnine d.o.o.,podravska
STUDENCI,Prodaja,Poslovni prostor,Večji poslovni kompleks,1995,756.0,638.0,298000.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o.",podravska
STUDENCI,Prodaja,Poslovni prostor,Skladišče,1960,3712.0,646.4,1099000.0,Agencija i3 d.o.o.,podravska
STUDENCI,Prodaja,Poslovni prostor,Večji poslovni kompleks,2014,3712.0,815.6,1100000.0,"Mojca nepremičnine, Galea Mojca Žižek s.p.",podravska
STUDENCI,Prodaja,Poslovni prostor,Večji poslovni kompleks,1960,3712.0,900.0,1100000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
STUDENCI,Prodaja,Poslovni prostor,Večji poslovni kompleks,1978,6907.0,2470.0,1090000.0,Dodoma d.o.o.,podravska
STUDENCI,Prodaja,Poslovni prostor,Kombiniran prostor,1985,2406.0,3118.5,750000.0,"DUTB, d.d.",podravska
"STUDENCI, BLIŽINA DVORANE TABOR",Prodaja,Hiša,Dvostanovanjska,1938,684.0,243.0,169000.0,"INSA d.o.o., Europark Maribor",podravska
"STUDENCI, KAMENŠKOVA",Prodaja,Stanovanje,štirisobno,2005,,192.5,255000.0,24nep d.o.o.,podravska
"STUDENCI, MARIBOR",Prodaja,Stanovanje,enosobno,2020,,43.3,76869.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, MARIBOR",Prodaja,Stanovanje,enosobno,2020,,45.9,87118.2,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, MARIBOR",Prodaja,Stanovanje,štirisobno,2020,,116.3,195479.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, MARIBOR",Prodaja,Stanovanje,trisobno,2020,,119.2,188715.04,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, MARIBOR",Prodaja,Hiša,Samostojna,2019,344.0,135.9,199000.0,"DOM-US, nepremičnine, d.o.o.",podravska
"STUDENCI, MARIBOR - PEKRSKA GORCA",Prodaja,Stanovanje,štirisobno,2020,1504.0,116.1,268318.8,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, MARIBOR - PEKRSKA GORCA",Prodaja,Stanovanje,trisobno,2020,,118.9,190522.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, MARIBOR, OB VALVASORJEVI ULICI",Prodaja,Poslovni prostor,Prostor za storitve,1900,,132.1,69000.0,"M nepremičnine, Milena Jančič s.p.",podravska
"STUDENCI, MARIBOR, SKUPAJ",Prodaja,Hiša,Vrstna,2019,192.0,150.0,218989.05,Rocco nepremičnine d.o.o.,podravska
"STUDENCI, MARIBOR, ZRAVEN DOMA POD GORCO",Prodaja,Hiša,Drugo,2019,192.0,151.0,214990.0,SH GLOBAL d.o.o.,podravska
"STUDENCI, PEKRSKA ULICA",Prodaja,Hiša,Dvojček,2017,191.0,109.8,198000.0,"BR nepremičnine,d.o.o.",podravska
"STUDENCI, PEKRSKA ULICA",Prodaja,Hiša,Samostojna,2008,401.0,162.3,229000.0,"BR nepremičnine,d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,enosobno,2020,,33.0,61692.3,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,dvosobno,2020,,58.2,105202.13,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,dvosobno,2020,,58.7,106016.53,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,dvoinpolsobno,2020,,73.4,129793.09,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,dvosobno,2020,,75.2,126951.56,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,dvoinpolsobno,2020,,107.6,185871.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,trisobno,2020,,117.2,261165.71,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,trisobno,2020,,117.3,202130.16,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,trisobno,2020,,125.5,198110.14,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, POD PEKRSKO GORCO",Prodaja,Stanovanje,trisobno,2020,,125.5,198110.14,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
"STUDENCI, SUNSET ELITE - MARIBOR",Prodaja,Stanovanje,trisobno,2019,,78.9,156935.4,SH GLOBAL d.o.o.,podravska
"STUDENCI, SUNSET ELITE MARIBOR",Prodaja,Stanovanje,dvosobno,2019,,62.7,128963.63,SH GLOBAL d.o.o.,podravska
"STUDENCI, TVT BORIS KIDRIČ",Prodaja,Poslovni prostor,Kombiniran prostor,2001,179.0,176.0,85000.0,"INSA d.o.o., Europark Maribor",podravska
"STUDENCI, ZA SENIORJE",Prodaja,Stanovanje,dvosobno,2019,,62.7,128963.63,SH GLOBAL d.o.o.,podravska
STUDENICE,Prodaja,Hiša,Samostojna,1952,1116.0,123.5,52000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
SV. ANA V SLOVENSKIH GORICAH,Prodaja,Hiša,Atrijska,2017,810.0,134.0,99000.0,Zasebna ponudba,podravska
"SV. ANA V SLOVENSKIH GORICAH, MIRNA IN SONČNA LEGA",Prodaja,Hiša,Samostojna,2011,800.0,176.7,239000.0,"INSA d.o.o., Europark Maribor",podravska
SV. DUH NA OSTREM VRHU,Prodaja,Hiša,Samostojna,1982,1200.0,216.0,105000.0,Zasebna ponudba,podravska
SV. TROJICA V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,1901,2570.0,126.0,65000.0,Atrium nepremičnine d.o.o.,podravska
SV. TROJICA V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,2019,608.0,142.1,139000.0,Atrium nepremičnine d.o.o.,podravska
SV. TROJICA V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,1849,273.0,312.4,250000.0,"C-nep agencija, d.o.o.",podravska
"SV. TROJICA V SLOVENSKIH GORICAH, SVETA",Prodaja,Hiša,Samostojna,2018,2868.0,300.0,160000.0,Dodoma d.o.o.,podravska
SVEČANE,Prodaja,Vikend,Bivalen,1989,1786.0,28.6,43000.0,"C-nep agencija, d.o.o.",podravska
SVETI TOMAŽ,Prodaja,Hiša,Dvostanovanjska,1938,4632.0,456.0,140000.0,"Nepremičnine SV, Tomaž Poredoš s.p.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Poslovni prostor,Prostor za storitve,1990,289.0,78.7,49900.0,"C-nep agencija, d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Dvojček,1985,402.0,92.1,60000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Dvojček,1985,402.0,92.1,60000.0,"C-nep agencija, d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,2017,490.0,109.1,169000.0,Atrium nepremičnine d.o.o.,podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Poslovni prostor,Gostinski lokal,2002,60.0,120.0,200000.0,Zasebna ponudba,podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,2017,591.0,140.9,200000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Atrijska,2018,490.0,148.0,169900.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Dvostanovanjska,1985,635.0,157.4,120000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Dvojček,1985,635.0,157.4,120000.0,"C-nep agencija, d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,2018,672.0,159.0,180000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,2009,432.0,220.0,240000.0,"Idila nepremičnine, Damijan Kokol s.p.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,2008,518.0,268.0,299000.0,"C-nep agencija, d.o.o.",podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Hiša,Samostojna,1930,10000.0,280.0,130000.0,Zasebna ponudba,podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Poslovni prostor,Kombiniran prostor,1895,983.0,1080.0,145000.0,K2 finance d.o.o.,podravska
ŠENTILJ V SLOVENSKIH GORICAH,Prodaja,Poslovni prostor,Neživilska trgovina,1985,2125.0,1242.2,257250.0,Atrium nepremičnine d.o.o.,podravska
"ŠENTILJ V SLOVENSKIH GORICAH, NOVINE",Prodaja,Poslovni prostor,Gostinski lokal,1900,745.0,369.0,115000.0,"INSA d.o.o., Europark Maribor",podravska
"ŠENTILJ V SLOVENSKIH GORICAH, ODLIČNA LOKACIJA",Prodaja,Stanovanje,štirisobno,2000,113.0,114.0,108900.0,Zasebna ponudba,podravska
ŠIKOLE,Prodaja,Stanovanje,enoinpolsobno,2005,,51.9,48000.0,Zoro d.o.o.,podravska
ŠMARTNO NA POHORJU,Prodaja,Hiša,Samostojna,1988,2000.0,190.0,210000.0,Zasebna ponudba,podravska
ŠTATENBERG,Prodaja,Hiša,Samostojna,1965,42096.0,59.0,33000.0,Zasebna ponudba,podravska
ŠTATENBERG,Prodaja,Vikend,Zidan,1980,1973.0,74.4,35000.0,Zoro d.o.o.,podravska
ŠTATENBERG,Prodaja,Hiša,Samostojna,1980,1973.0,75.0,35000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
ŠTATENBERG,Prodaja,Hiša,Samostojna,1966,5413.0,76.1,55000.0,Zoro d.o.o.,podravska
ŠTRIHOVEC,Prodaja,Hiša,Samostojna,1978,11091.0,81.6,100000.0,Atrium nepremičnine d.o.o.,podravska
ŠTRIHOVEC,Prodaja,Hiša,Samostojna,2002,455.0,82.5,89900.0,"Idila nepremičnine, Damijan Kokol s.p.",podravska
TABOR,Prodaja,Garaža,Parkirno mesto,2009,,12.0,5000.0,"DUTB, d.d.",podravska
TABOR,Prodaja,Poslovni prostor,Pisarna,2000,,25.7,29500.0,Dodoma d.o.o.,podravska
TABOR,Prodaja,Stanovanje,enosobno,1920,,33.8,44900.0,"DUTB, d.d.",podravska
TABOR,Prodaja,Poslovni prostor,Pisarna,2003,,41.8,80000.0,"C-nep agencija, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,enosobno,1972,,42.3,63000.0,"C-nep agencija, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,enoinpolsobno,1928,,50.5,63000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,dvosobno,1962,,51.3,76000.0,"INVENTA NEPREMIČNINE, Tanja Koser s.p.",podravska
TABOR,Prodaja,Stanovanje,enoinpolsobno,1976,,52.0,80700.0,"C-nep agencija, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,dvosobno,1961,,53.1,74900.0,ABC nepremičnine d.o.o.,podravska
TABOR,Prodaja,Stanovanje,dvosobno,1978,,55.0,90000.0,Zasebna ponudba,podravska
TABOR,Prodaja,Stanovanje,trisobno,1979,,55.7,79990.0,"Mojca nepremičnine, Galea Mojca Žižek s.p.",podravska
TABOR,Prodaja,Stanovanje,dvosobno,1979,,55.7,82000.0,Atrium nepremičnine d.o.o.,podravska
TABOR,Prodaja,Stanovanje,dvosobno,1964,,58.3,69000.0,"C-nep agencija, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,dvosobno,1971,,58.5,78000.0,Atrium nepremičnine d.o.o.,podravska
TABOR,Prodaja,Stanovanje,dvosobno,1900,,60.0,70000.0,"Agenti nepremičninsko posredovanje, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,dvosobno,1975,,61.0,87000.0,Zasebna ponudba,podravska
TABOR,Prodaja,Stanovanje,dvoinpolsobno,1960,,61.9,95000.0,"C-nep agencija, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,dvosobno,1974,,64.0,89000.0,Zasebna ponudba,podravska
TABOR,Prodaja,Stanovanje,dvoinpolsobno,1975,,64.8,85900.0,"Mojca nepremičnine, Galea Mojca Žižek s.p.",podravska
TABOR,Prodaja,Stanovanje,dvoinpolsobno,1970,,66.05,95000.0,Vizija Lina Ina Poglajen s.p.,podravska
TABOR,Prodaja,Stanovanje,dvoinpolsobno,1974,,69.9,87990.0,Atrium nepremičnine d.o.o.,podravska
TABOR,Prodaja,Stanovanje,trisobno,1979,,70.8,89900.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",podravska
TABOR,Prodaja,Poslovni prostor,Neživilska trgovina,1923,,72.0,59000.0,Dodoma d.o.o.,podravska
TABOR,Prodaja,Stanovanje,trisobno,1970,,72.4,95000.0,Atrium nepremičnine d.o.o.,podravska
TABOR,Prodaja,Stanovanje,trisobno,1971,,74.7,95900.0,"Mojca nepremičnine, Galea Mojca Žižek s.p.",podravska
TABOR,Prodaja,Poslovni prostor,Gostinski lokal,2000,,75.3,150000.0,"C-nep agencija, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,trisobno,1979,,77.1,90500.0,Zasebna ponudba,podravska
TABOR,Prodaja,Hiša,Vrstna,1928,170.0,77.9,105000.0,"C-nep agencija, d.o.o.",podravska
TABOR,Prodaja,Stanovanje,trisobno,1920,,86.0,86900.0,"DUTB, d.d.",podravska
